"Run 5: Time (s)","Run 5: Force (N)","Run 5: Position (m)","Run 5: Velocity (m/s)","Run 5: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Force (N)","Run 1: Position (m)","Run 1: Velocity (m/s)","Run 1: Acceleration (m/s²)","Run 2: Time (s)","Run 2: Force (N)","Run 2: Position (m)","Run 2: Velocity (m/s)","Run 2: Acceleration (m/s²)","Run 3: Time (s)","Run 3: Force (N)","Run 3: Position (m)","Run 3: Velocity (m/s)","Run 3: Acceleration (m/s²)","Run 4: Time (s)","Run 4: Force (N)","Run 4: Position (m)","Run 4: Velocity (m/s)","Run 4: Acceleration (m/s²)"
0.76,1.11799218506,0.56938,0.482462847222,0.243404947917,0.76,1.05803087167,0.239757,0.278211111111,0.431975549769,0.76,1.08897864632,0.2114595,0.261180208333,0.516087962963,0.76,1.08897864632,0.1881355,0.0373965277778,1.8910819348,0.76,1.17988773435,0.18865,0.018221875,1.88545789931
0.77,1.08897864632,,,,0.77,1.08897864632,,,,0.77,1.08897864632,,,,0.77,1.08897864632,,,,0.77,1.08897864632,,,
0.78,1.08897864632,,,,0.78,1.08897864632,,,,0.78,1.05803087167,,,,0.78,1.05803087167,,,,0.78,1.08897864632,,,
0.79,1.08897864632,,,,0.79,1.05803087167,,,,0.79,1.08897864632,,,,0.79,1.08897864632,,,,0.79,1.08897864632,,,
0.8,1.08897864632,0.5891025,0.492586111111,0.245886140046,0.8,1.05803087167,0.251419,0.297147569444,0.399637345679,0.8,1.08897864632,0.222607,0.252247916667,0.138615933642,0.8,1.08897864632,0.1888215,0.134460763889,1.98983338156,0.8,1.08897864632,0.1881355,0.111236805556,2.1226598669
0.81,1.11799218506,,,,0.81,1.05803087167,,,,0.81,1.08897864632,,,,0.81,1.05803087167,,,,0.81,1.11799218506,,,
0.82,1.08897864632,,,,0.82,1.08897864632,,,,0.82,1.08897864632,,,,0.82,1.05803087167,,,,0.82,1.08897864632,,,
0.83,1.08897864632,,,,0.83,1.05803087167,,,,0.83,1.08897864632,,,,0.83,1.05803087167,,,,0.83,1.11799218506,,,
0.84,1.08897864632,0.608825,0.501756597222,0.264743200231,0.84,1.08897864632,0.263767,0.311320138889,0.314945987654,0.84,1.1489399597,0.2310105,0.251771527778,0.271773244599,0.84,1.02708309703,0.19894,0.228785763889,1.42445240162,0.84,1.08897864632,0.1967105,0.2186625,1.67323326582
0.85,1.08897864632,,,,0.85,1.08897864632,,,,0.85,1.17988773435,,,,0.85,1.02708309703,,,,0.85,1.08897864632,,,
0.86,1.08897864632,,,,0.86,1.08897864632,,,,0.86,1.17988773435,,,,0.86,1.02708309703,,,,0.86,1.08897864632,,,
0.87,1.11799218506,,,,0.87,1.05803087167,,,,0.87,1.210835509,,,,0.87,1.02708309703,,,,0.87,1.08897864632,,,
0.88,1.11799218506,0.6292335,0.512594444444,0.308908420139,0.88,1.08897864632,0.276458,0.320490625,0.26011164159,0.88,1.17988773435,0.2416435,0.276067361111,0.426103395062,0.88,1.05803087167,0.209916,0.259989236111,0.589613956404,0.88,1.08897864632,0.2083725,0.263919444444,0.782816116898
0.89,1.1489399597,,,,0.89,1.08897864632,,,,0.89,1.210835509,,,,0.89,1.02708309703,,,,0.89,1.05803087167,,,
0.9,1.1489399597,,,,0.9,1.08897864632,,,,0.9,1.210835509,,,,0.9,1.02708309703,,,,0.9,1.08897864632,,,
0.91,1.11799218506,,,,0.91,1.08897864632,,,,0.91,1.210835509,,,,0.91,1.05803087167,,,,0.91,1.08897864632,,,
0.92,1.1489399597,0.6498135,0.524385069444,0.376893084491,0.92,1.08897864632,0.2893205,0.330732986111,0.25399136767,0.92,1.17988773435,0.253477,0.294884722222,0.39103587963,0.92,1.05803087167,0.2210635,0.254987152778,0.203623167438,0.92,1.08897864632,0.2193485,0.267254166667,0.188901427469
0.93,1.11799218506,,,,0.93,1.08897864632,,,,0.93,1.17988773435,,,,0.93,1.05803087167,,,,0.93,1.08897864632,,,
0.94,1.08897864632,,,,0.94,1.11799218506,,,,0.94,1.1489399597,,,,0.94,1.02708309703,,,,0.94,1.05803087167,,,
0.95,1.08897864632,,,,0.95,1.11799218506,,,,0.95,1.1489399597,,,,0.95,1.05803087167,,,,0.95,1.05803087167,,,
0.96,1.08897864632,0.670565,0.547847222222,0.322058738426,0.96,1.08897864632,0.3030405,0.339665277778,0.280043885031,0.96,1.1489399597,0.265482,0.308223611111,0.309404658565,0.96,1.05803087167,0.2296385,0.258321875,0.270367235725,0.96,1.05803087167,0.2299815,0.259036458333,0.0955258969907
0.97,1.11799218506,,,,0.97,1.08897864632,,,,0.97,1.17988773435,,,,0.97,1.08897864632,,,,0.97,1.08897864632,,,
0.98,1.11799218506,,,,0.98,1.08897864632,,,,0.98,1.17988773435,,,,0.98,1.05803087167,,,,0.98,1.08897864632,,,
0.99,1.1489399597,,,,0.99,1.11799218506,,,,0.99,1.210835509,,,,0.99,1.05803087167,,,,0.99,1.05803087167,,,
1,1.11799218506,0.694232,0.557851388889,0.104044656636,1,1.08897864632,0.3164175,0.350503125,0.347697723765,1,1.210835509,0.278173,0.318823263889,0.239848572531,1,1.08897864632,0.2409575,0.279044791667,0.357787905093,1,1.05803087167,0.239414,0.264753125,0.299397183642
1.01,1.08897864632,,,,1.01,1.11799218506,,,,1.01,1.23984904774,,,,1.01,1.11799218506,,,,1.01,1.08897864632,,,
1.02,1.11799218506,,,,1.02,1.1489399597,,,,1.02,1.23984904774,,,,1.02,1.08897864632,,,,1.02,1.08897864632,,,
1.03,1.11799218506,,,,1.03,1.1489399597,,,,1.03,1.27079682238,,,,1.03,1.08897864632,,,,1.03,1.08897864632,,,
1.04,1.11799218506,0.7160125,0.549752777778,0.0248946277006,1.04,1.1489399597,0.3304805,0.372774305556,0.29534456983,1.04,1.17988773435,0.291207,0.324778125,0.235547839506,1.04,1.08897864632,0.252448,0.291907291667,0.350509741512,1.04,1.08897864632,0.25039,0.288929861111,0.409975646219
1.05,1.11799218506,,,,1.05,1.1489399597,,,,1.05,1.17988773435,,,,1.05,1.05803087167,,,,1.05,1.08897864632,,,
1.06,1.1489399597,,,,1.06,1.1489399597,,,,1.06,1.1489399597,,,,1.06,1.02708309703,,,,1.06,1.08897864632,,,
1.07,1.17988773435,,,,1.07,1.11799218506,,,,1.07,1.1489399597,,,,1.07,1.05803087167,,,,1.07,1.08897864632,,,
1.08,1.210835509,0.7376215,0.552849305556,0.109337866512,1.08,1.1489399597,0.3469445,0.379801041667,0.12422501929,1.08,1.1489399597,0.303898,0.335735069444,0.280622829861,1.08,1.05803087167,0.2642815,0.305841666667,0.343727816358,1.08,1.08897864632,0.263081,0.303697916667,0.375404369213
1.09,1.210835509,,,,1.09,1.1489399597,,,,1.09,1.1489399597,,,,1.09,1.05803087167,,,,1.09,1.08897864632,,,
1.1,1.23984904774,,,,1.1,1.1489399597,,,,1.1,1.1489399597,,,,1.1,1.05803087167,,,,1.1,1.08897864632,,,
1.11,1.23984904774,,,,1.11,1.11799218506,,,,1.11,1.1489399597,,,,1.11,1.02708309703,,,,1.11,1.08897864632,,,
